Rank,State,Surgical_Demand_Index
1,Wyoming,1188
2,Oklahoma,994
3,Arkansas,975
4,New Mexico,845
5,Alabama,802
6,Vermont,802
7,North Carolina,724
8,Iowa,715
9,Montana,707
10,West Virginia,678
11,Maine,655
12,Mississippi,649
13,Indiana,631
14,Washington,628
15,South Carolina,625
16,Nevada,619
17,Hawaii,586
18,Louisiana,585
19,Idaho,568
20,Minnesota,553
21,Kentucky,550
22,Texas,540
23,Georgia,537
24,Pennsylvania,534
25,Michigan,529
26,South Dakota,527
27,Wisconsin,527
28,California,514
29,Ohio,510
30,Tennessee,502
31,Missouri,493
32,Rhode Island,492
33,Nebraska,491
34,Arizona,483
35,Alaska,475
36,Colorado,449
37,Massachusetts,437
38,New Jersey,434
39,New York,434
40,Florida,431
41,Kansas,429
42,New Hampshire,422
43,Maryland,408
44,Delaware,402
45,Utah,400
46,North Dakota,387
47,Illinois,363
48,Connecticut,355
49,Virginia,321
50,Oregon,265
