surgery,year,counts
nose reshaping,2020,65121
eyelid surgery,2020,45806
cheek implant,2020,28638
liposuction,2020,22815
ear surgery,2020,22467
nose reshaping,2019,61865
eyelid surgery,2019,42142
cheek implant,2019,24056
ear surgery,2019,21568
liposuction,2019,18024
nose reshaping,2018,52660
eyelid surgery,2018,31494
liposuction,2018,29528
breast reduction,2018,24753
hair transplantation,2018,16840
nose reshaping,2017,52393
eyelid surgery,2017,32281
liposuction,2017,28180
breast reduction,2017,26839
hair transplantation,2017,14443
nose reshaping,2016,55024
eyelid surgery,2016,30958
breast reduction,2016,27760
liposuction,2016,26908
facelift,2016,12102
nose reshaping,2015,53248
eyelid surgery,2015,29906
breast reduction,2015,27456
liposuction,2015,25656
facelift,2015,11963
nose reshaping,2014,54680
eyelid surgery,2014,29402
breast reduction,2014,26175
liposuction,2014,24327
facelift,2014,11851
nose reshaping,2013,57391
eyelid surgery,2013,30398
liposuction,2013,23558
breast reduction,2013,22939
facelift,2013,12699
nose reshaping,2012,61771
eyelid surgery,2012,29050
liposuction,2012,22914
breast reduction,2012,20723
facelift,2012,11913
nose reshaping,2011,62110
eyelid surgery,2011,28637
liposuction,2011,23159
breast reduction,2011,19766
facelift,2011,11214
nose reshaping,2010,63585
eyelid surgery,2010,31476
liposuction,2010,23899
breast reduction,2010,18280
hair transplantation,2010,13217
